idade_pessoa,salario_pessoa,situacao_propriedade_pessoa,tempo_trabalhado_pessoa,motivo_emprestimo,pontuacao_emprestimo,valor_emprestimo,taxa_juros_emprestimo,status_emprestimo,porcentagem_salario_emprestimo,foi_inadimplente_cb,tempo_primeira_solicitacao_credito_cb
23,28000,Aluguel,0,Médico,C,5000,11.78,0,0.18,N,4
23,36000,Hipoteca,7,Empreendimento,C,NULL,15.31,NULL,0.35,N,4
21,38400,Aluguel,5,Educativo,A,10000,7.66,0,0.26,N,4
26,135000,Hipoteca,10,Pagamento de débitos,C,24000,12.99,0,0.18,N,2
22,60000,Aluguel,3,Personal,B,6500,9.25,0,0.11,N,2
26,21000,Própria,4,Empreendimento,C,8000,13.79,0,0.38,N,2
23,81600,Hipoteca,7,Pagamento de débitos,A,9000,7.49,0,0.11,N,4
23,80000,Aluguel,1,Médico,C,14400,12.68,0,0.18,N,4
22,62000,Hipoteca,6,Empreendimento,A,5000,8.59,0,0.08,N,4
24,60000,Aluguel,6,Empreendimento,A,10000,9.32,0,0.17,N,2
24,65000,Aluguel,5,Melhora do lar,A,11000,7.51,0,0.17,N,4
23,92004,Hipoteca,7,Educativo,B,24250,11.12,0,0.26,N,2
26,40000,Aluguel,10,Personal,D,6925,15.99,0,0.17,N,4
37,90000,Hipoteca,11,Pagamento de débitos,A,4000,6.62,0,0.04,N,15
33,39000,Própria,0,Empreendimento,B,10000,12.42,0,0.26,N,7
42,42000,Aluguel,6,Educativo,D,14500,15.57,1,0.35,N,14
31,48000,Própria,0,Melhora do lar,B,1600,9.99,0,0.03,N,8
22,59000,Aluguel,2,Personal,B,21000,10.71,1,0.36,N,3
30,111996,Aluguel,1,Pagamento de débitos,A,12000,7.49,0,0.11,N,6
22,52000,Hipoteca,6,Educativo,D,10000,13.87,1,0.19,S,2
28,18000,Própria,2,Médico,C,6350,13.57,1,0.35,N,5
24,72000,Hipoteca,2,Educativo,E,6000,16.77,0,0.08,S,3
25,46000,Aluguel,3,Personal,C,6000,14.72,0,0.13,S,4
28,44000,Aluguel,5,Personal,C,16000,13.48,1,0.36,N,6
39,37200,Aluguel,1,Educativo,C,5000,15.62,1,0.13,N,15
34,60353,Aluguel,13,Personal,B,8500,10.65,0,0.14,N,6
42,41000,Aluguel,2,Melhora do lar,E,15000,16.95,1,0.37,S,15
21,46000,Própria,5,Empreendimento,D,10000,14.74,0,0.22,S,3
34,67000,Aluguel,7,NULL,B,6000,7.9,0,0.11,NULL,4
24,50000,Hipoteca,2,Empreendimento,A,12500,9.32,0,0.25,N,2
28,75000,Hipoteca,6,Melhora do lar,A,10500,NULL,0,0.14,N,9
28,NULL,Aluguel,NULL,Educativo,B,7000,7.9,0,0.15,N,3
56,59200,Aluguel,1,Pagamento de débitos,C,10000,13.61,0,0.17,S,20
28,34320,Hipoteca,5,Pagamento de débitos,B,16000,12.69,0,0.47,N,7
24,90000,Hipoteca,3,Empreendimento,A,12000,7.51,0,0.13,N,3
35,200000,Aluguel,7,Empreendimento,B,5000,NULL,0,0.03,N,10
29,120000,Hipoteca,3,Médico,C,6250,12.53,0,0.05,S,8
36,50000,Aluguel,2,Pagamento de débitos,A,5500,8.32,0,0.11,N,16
25,79200,Hipoteca,1,Personal,C,11200,14.79,1,0.14,S,3
39,70000,Hipoteca,6,Educativo,A,10000,6.17,0,0.14,N,15
24,85000,Hipoteca,3,Melhora do lar,A,12000,7.51,0,0.14,N,4
25,73000,Aluguel,2,Empreendimento,E,12000,NULL,1,0.16,N,2
23,32400,Aluguel,4,Médico,A,4500,7.49,0,0.14,N,3
28,87000,Aluguel,7,Empreendimento,B,6400,10.39,0,0.07,N,6
29,98000,Hipoteca,13,Melhora do lar,B,14000,10.25,0,0.14,N,5
22,40000,Aluguel,0,Personal,A,11575,NULL,0,0.29,N,3
23,47000,Hipoteca,1,Empreendimento,A,6000,5.99,0,0.13,N,2
25,88000,NULL,7,Médico,B,NULL,14.65,0,0.06,N,3
28,52000,Hipoteca,11,Médico,A,6000,NULL,0,0.12,N,5
26,80000,Hipoteca,3,Educativo,A,18000,5.79,0,0.23,N,4
24,56000,Aluguel,2,Educativo,A,10000,6.03,0,0.18,N,4
25,27500,Hipoteca,NULL,Educativo,A,9000,7.49,0,0.33,N,4
25,26500,Aluguel,1,Médico,B,3000,10.62,0,0.11,N,3
34,28800,Aluguel,0,Educativo,B,7200,11.99,1,0.25,N,10
24,64000,Hipoteca,8,Empreendimento,B,4000,10,0,0.06,N,2
25,35392,Aluguel,9,Educativo,A,6000,7.4,0,0.17,N,3
25,38000,Aluguel,8,Médico,C,16000,12.87,1,0.42,S,3
22,29554,Hipoteca,NULL,Pagamento de débitos,A,5775,5.42,1,0.2,N,3
22,44582,Aluguel,6,Melhora do lar,A,4000,5.99,1,0.09,N,4
33,116004,Hipoteca,12,Médico,C,8200,13.85,0,0.07,N,9
42,74000,Hipoteca,1,Personal,C,16000,12.73,0,0.22,N,16
23,84000,Aluguel,4,Empreendimento,D,6500,NULL,0,0.08,N,3
22,55000,Própria,0,Empreendimento,A,1000,8.59,0,0.02,N,3
24,60000,Hipoteca,3,Empreendimento,A,20000,7.88,0,0.33,N,2
27,58000,Aluguel,5,Pagamento de débitos,A,5900,9.32,0,0.1,N,7
26,71000,Aluguel,9,Médico,B,3000,NULL,0,0.04,N,4
39,85000,Aluguel,7,Educativo,B,12000,10.74,0,0.14,N,13
26,175000,Hipoteca,0,Personal,C,15000,NULL,0,0.09,N,3
23,51996,Aluguel,1,Pagamento de débitos,B,3000,10.37,0,0.06,N,2
21,29000,Hipoteca,0,Personal,B,4200,11.99,0,0.14,N,3
21,44000,Aluguel,6,Empreendimento,D,10000,14.74,0,0.23,S,3
30,42000,Aluguel,4,Empreendimento,A,10000,NULL,0,0.24,N,9
28,49000,Própria,6,Educativo,B,19000,10.99,0,0.39,N,7
22,48132,Aluguel,5,Médico,B,10000,11.71,0,0.21,N,4
23,75000,Hipoteca,7,Educativo,A,8000,7.05,0,0.11,N,2
29,46000,Hipoteca,9,Personal,A,4000,6.76,0,0.09,N,9
29,48000,Hipoteca,5,Educativo,C,10000,12.73,0,0.21,S,7
40,31504,Aluguel,13,Médico,E,10000,NULL,1,0.32,N,13
22,32500,Hipoteca,6,Pagamento de débitos,A,2500,6.99,0,0.08,N,3
30,51600,Aluguel,5,Pagamento de débitos,C,16000,13.49,1,0.31,N,8
24,67000,Hipoteca,2,Melhora do lar,B,12150,10.37,0,0.18,N,3
28,100000,Hipoteca,3,Educativo,C,10000,12.84,0,0.1,S,5
33,56400,Hipoteca,3,Educativo,B,8500,12.42,1,0.15,N,6
27,128000,Hipoteca,11,Empreendimento,B,32000,11.11,0,0.25,N,7
30,46500,Hipoteca,8,Empreendimento,A,6000,7.88,0,0.13,N,8
NULL,70000,Aluguel,2,Pagamento de débitos,A,10000,14.27,0,0.25,NULL,3
26,56000,Aluguel,7,Personal,A,5000,7.91,0,0.09,N,2
23,115000,Aluguel,0,Personal,C,10800,14.65,0,0.09,N,4
56,71884,Própria,11,Personal,B,7425,9.99,0,0.1,N,22
35,75000,Hipoteca,1,Pagamento de débitos,A,9000,5.79,0,0.12,N,9
25,71000,Aluguel,5,Melhora do lar,A,9600,5.79,0,0.14,N,4
27,98000,Aluguel,3,Empreendimento,C,5000,13.98,0,0.05,S,6
27,56000,Aluguel,2,Médico,B,14000,10.65,0,0.25,N,7
23,55000,Aluguel,7,Educativo,A,10000,5.79,0,0.18,N,3
28,40000,Aluguel,3,Médico,B,8000,10.95,0,0.2,N,6
62,60000,Hipoteca,5,Personal,A,16000,8.9,0,0.27,N,19
25,150000,Hipoteca,9,Médico,B,12125,8.7,0,0.08,N,4
27,39000,Hipoteca,11,Melhora do lar,E,5000,18.79,1,0.13,S,10
37,85000,Hipoteca,19,Melhora do lar,B,10000,9.99,0,0.12,N,16
31,73100,Hipoteca,0,Médico,E,16000,NULL,1,0.19,S,6
24,26000,Hipoteca,8,Médico,A,7000,7.74,0,0.27,N,2
28,34200,Aluguel,8,Personal,A,7500,8.94,0,0.22,N,7
22,26886,Própria,6,Educativo,C,7500,NULL,0,0.28,S,4
51,99000,Aluguel,2,Melhora do lar,B,9000,11.49,0,0.09,N,22
26,37000,Hipoteca,7,Educativo,B,8400,10.99,0,0.23,N,4
32,38100,Hipoteca,0,Educativo,A,8400,8.38,0,0.22,N,9
36,39996,Aluguel,0,Empreendimento,B,2000,11.49,0,0.05,N,11
21,90000,Hipoteca,5,Personal,B,21000,NULL,0,0.23,N,4
22,40000,Aluguel,7,Educativo,B,10000,10.37,0,0.25,N,2
28,20000,Aluguel,2,Médico,A,4800,NULL,0,0.24,N,8
31,260000,Hipoteca,6,Médico,C,25000,13.57,0,0.1,S,6
26,89000,Hipoteca,10,Melhora do lar,B,8000,10.99,0,0.09,N,2
29,30992,Hipoteca,3,Educativo,B,8000,11.58,1,0.26,N,9
26,18000,Aluguel,0,Educativo,NULL,10000,11.71,1,0.19,NULL,7
24,35000,Hipoteca,2,Médico,A,2950,NULL,0,0.08,N,4
25,45000,Própria,5,Empreendimento,B,10400,10.25,0,0.23,N,3
34,100000,Hipoteca,7,Educativo,A,12000,7.49,0,0.12,N,6
23,14000,Própria,2,Pagamento de débitos,D,4000,NULL,1,0.29,N,3
27,50000,Hipoteca,11,Personal,C,7500,11.59,0,0.15,S,6
31,24000,Aluguel,0,Médico,A,7000,7.51,0,0.29,N,7
24,100000,Hipoteca,0,Pagamento de débitos,C,16000,14.72,0,0.16,N,2
29,70000,Outro,1,Personal,B,5000,11.14,0,0.07,N,6
23,39000,Aluguel,7,Médico,B,12000,10.83,1,0.31,N,3
43,76000,Hipoteca,4,Melhora do lar,D,9150,16.29,0,0.12,S,16
44,100000,Aluguel,5,Educativo,A,13500,8.9,0,0.14,N,17
24,53000,Hipoteca,4,Empreendimento,A,15000,NULL,0,0.28,N,2
32,130000,Aluguel,0,Personal,B,12500,9.99,0,0.1,N,6
30,9600,Aluguel,1,Pagamento de débitos,C,1500,12.73,1,0.16,S,8
44,60000,Hipoteca,4,Melhora do lar,B,15000,NULL,0,0.25,N,11
26,67000,Hipoteca,4,Médico,A,10400,8.9,0,0.16,N,4
31,180000,Hipoteca,5,Empreendimento,C,9000,14.27,0,0.05,S,6
24,65000,Própria,8,Empreendimento,A,12000,6.17,0,0.18,N,4
33,120999,Hipoteca,7,Pagamento de débitos,NULL,5000,13.92,0,NULL,N,4
41,24000,Hipoteca,5,Médico,A,1500,NULL,0,0.06,N,15
32,59004,Aluguel,2,Melhora do lar,B,6000,11.49,0,0.1,N,8
26,60000,Hipoteca,NULL,Pagamento de débitos,C,8000,7.74,0,NULL,N,3
24,38500,Hipoteca,5,Personal,C,2500,NULL,0,0.06,N,4
29,40000,Hipoteca,13,Personal,A,6400,7.51,0,0.16,N,6
26,78000,Própria,2,Empreendimento,C,2400,14.72,0,0.03,S,3
42,58752,Aluguel,8,Médico,B,3000,10.01,0,0.05,N,16
34,92000,Hipoteca,5,Médico,A,10000,7.51,0,0.11,N,10
23,71500,Aluguel,3,Pagamento de débitos,D,30000,NULL,1,0.42,N,4
22,37000,Aluguel,2,Educativo,B,4000,10.95,0,0.11,N,2
24,78400,Hipoteca,5,Empreendimento,C,17400,13.48,0,0.22,N,2
32,47000,NULL,8,Empreendimento,A,7000,10.78,0,NULL,S,3
26,70000,Hipoteca,10,Personal,B,8000,10,0,0.11,N,2
25,50000,Hipoteca,9,Personal,C,20000,15.27,0,0.4,N,4
22,30000,Aluguel,7,Médico,A,7200,8.9,1,0.24,N,2
25,220000,Hipoteca,5,Empreendimento,B,25000,10.75,0,0.11,N,2
33,60000,Aluguel,3,Pagamento de débitos,A,9000,8.49,0,0.15,N,8
32,NULL,Aluguel,NULL,Médico,A,12000,14.54,0,0.27,N,2
32,62000,Hipoteca,6,Personal,B,6000,11.36,0,0.1,N,6
27,33600,Aluguel,3,Pagamento de débitos,C,10000,14.72,0,0.3,N,8
24,70446,Aluguel,1,Personal,A,9550,7.49,0,0.14,N,3
24,130000,Hipoteca,3,Pagamento de débitos,B,5000,12.42,0,0.04,N,2
25,33600,Própria,9,Empreendimento,A,9750,NULL,0,0.29,N,3
25,67200,NULL,3,Melhora do lar,C,13000,NULL,0,0.26,N,4
35,110000,Hipoteca,3,Melhora do lar,A,10000,8.59,0,0.09,N,6
24,38400,Outro,0,Empreendimento,E,8000,16,0,0.21,S,2
22,NULL,Hipoteca,5,Médico,B,6250,15.96,NULL,0.21,S,3
22,137004,Hipoteca,3,Pagamento de débitos,A,10000,5.79,0,0.07,N,4
22,8280,Aluguel,NULL,Médico,B,2400,9.91,1,0.29,N,2
27,35000,Aluguel,5,Empreendimento,C,10000,13.48,0,0.29,S,8
35,100000,Própria,9,Empreendimento,A,10000,8.59,0,0.1,N,7
26,39000,Aluguel,1,Empreendimento,D,5000,12.92,1,NULL,N,16
22,46000,Aluguel,0,Pagamento de débitos,B,9600,10.99,0,0.21,N,4
29,53500,Hipoteca,3,Pagamento de débitos,C,5000,13.49,0,0.09,N,10
23,35292,Hipoteca,7,Educativo,A,2100,7.51,0,0.06,N,2
22,47540,Hipoteca,4,Médico,B,12250,10.62,0,0.26,N,2
59,175000,Aluguel,3,Personal,B,12000,10.59,0,0.07,N,27
35,75000,Própria,9,Empreendimento,A,7600,NULL,0,0.1,N,7
36,40800,Hipoteca,7,Melhora do lar,D,7200,16.32,0,0.18,S,11
21,50460,Própria,4,Empreendimento,C,6000,13.49,0,0.12,N,3
26,35000,Aluguel,10,Médico,B,12875,NULL,1,0.37,N,2
30,54996,Aluguel,2,Médico,A,4800,6.03,0,0.09,N,8
24,72000,Aluguel,8,Educativo,B,35000,NULL,0,0.24,NULL,8
28,69000,Hipoteca,4,Educativo,D,30000,NULL,1,0.43,S,9
28,19000,Aluguel,1,Pagamento de débitos,B,9250,11.49,1,0.49,N,7
30,72516,Aluguel,11,Personal,C,5000,13.85,0,0.07,S,6
25,116000,Hipoteca,0,Educativo,D,35000,17.58,0,0.3,S,4
21,29004,Aluguel,0,Médico,D,7500,NULL,1,0.26,S,2
24,62000,Aluguel,8,Personal,A,8850,6.62,0,0.14,N,3
22,25200,Aluguel,1,Médico,B,4000,NULL,0,0.16,N,2
28,52000,Aluguel,12,Melhora do lar,B,5000,11.36,1,0.1,N,7
24,70000,Aluguel,8,Personal,B,12000,10.65,0,0.17,N,3
27,89000,Hipoteca,11,Educativo,D,2800,14.96,0,0.03,S,10
22,32000,Aluguel,2,Empreendimento,C,10000,13.22,1,0.31,N,3
26,48000,Aluguel,0,Educativo,C,9600,12.73,0,0.2,S,3
23,55000,Aluguel,4,Educativo,B,10000,10.37,0,0.18,N,4
25,35000,Aluguel,4,Empreendimento,D,4000,16.29,0,0.11,S,2
27,60000,Aluguel,7,Empreendimento,B,9600,10.65,0,0.16,N,7
24,50000,Hipoteca,3,Empreendimento,A,15000,8.9,0,0.3,N,2
47,47000,Hipoteca,9,Médico,A,7500,6.62,0,0.16,N,13
25,62400,Hipoteca,9,Educativo,D,12500,14.96,0,0.2,N,3
24,100000,Hipoteca,8,Melhora do lar,A,10000,6.54,0,0.1,N,3
23,105999,Hipoteca,6,Educativo,B,8550,9.88,0,0.08,N,2
26,80000,Aluguel,3,Empreendimento,A,9000,8.9,0,0.11,N,2
23,42000,Aluguel,7,Pagamento de débitos,B,15000,11.83,1,0.36,N,2
27,50000,Hipoteca,1,Empreendimento,A,6500,7.74,0,0.13,N,6
31,56400,Aluguel,1,Empreendimento,B,7500,11.48,0,0.13,N,6
22,60000,Aluguel,0,Médico,B,10000,11.14,0,0.17,N,4
41,31000,Aluguel,5,Médico,E,3700,16.32,1,0.12,N,17
25,73163,Hipoteca,9,Empreendimento,E,25000,16.45,0,0.34,N,3
23,29004,Própria,1,Educativo,C,2000,13.16,0,0.07,S,3
22,53832,Hipoteca,2,Médico,C,11700,12.87,0,0.22,N,2
25,NULL,Aluguel,0,Educativo,B,5000,9.32,NULL,0.19,N,2
31,117000,Hipoteca,5,Melhora do lar,A,3600,6.91,0,0.03,N,5
33,58000,Aluguel,0,Empreendimento,B,14400,9.91,0,0.25,N,5
28,125000,Hipoteca,12,Personal,A,30000,7.51,0,0.24,N,5
43,40000,Hipoteca,3,Médico,B,18000,11.83,0,0.45,N,15
32,48000,Aluguel,3,Educativo,C,14100,13.49,0,0.29,N,5
38,67000,Aluguel,6,Melhora do lar,D,13000,NULL,0,0.19,N,17
25,100000,Hipoteca,9,Educativo,B,8000,10.25,0,0.08,N,3
28,112000,Aluguel,1,Médico,B,6000,12.69,0,0.05,N,8
24,30000,Aluguel,0,Personal,A,10000,8.38,1,0.33,N,2
25,30000,Aluguel,4,Médico,C,2000,14.22,0,0.07,S,4
30,42000,NULL,1,Pagamento de débitos,A,14000,NULL,0,0.42,N,2
22,65200,Hipoteca,1,Pagamento de débitos,A,4000,7.14,0,0.06,N,4
22,40000,Aluguel,2,Pagamento de débitos,C,5025,13.43,0,0.13,N,2
29,85000,Hipoteca,9,Médico,B,15000,10.65,0,0.18,N,9
38,37500,Aluguel,0,Educativo,A,1375,6.91,0,0.04,N,15
30,30000,Aluguel,4,Melhora do lar,D,6500,15.65,1,0.22,S,6
25,90000,Hipoteca,9,Personal,A,3600,7.9,0,0.04,N,2
24,35000,Aluguel,4,Médico,B,5000,11.71,0,0.14,N,3
21,61000,Aluguel,3,Educativo,B,7500,10.39,0,0.12,N,2
32,86000,Hipoteca,4,NULL,NULL,1400,NULL,1,0.16,N,2
24,96500,Hipoteca,1,Educativo,E,14000,17.19,0,0.15,N,4
26,77100,Aluguel,8,Educativo,B,35000,12.42,1,0.45,N,3
29,101000,Própria,6,Melhora do lar,B,12000,12.18,0,0.12,N,8
27,24000,Própria,4,Educativo,C,4000,12.99,0,0.17,N,6
22,4800,Aluguel,1,Personal,D,1800,14.84,1,0.38,S,2
22,47580,Hipoteca,6,Médico,A,4000,6.62,0,0.08,N,2
23,55000,Hipoteca,1,Empreendimento,B,1500,11.49,0,0.03,N,3
22,61000,Hipoteca,6,Médico,C,12000,13.49,0,0.2,N,4
31,40000,Própria,0,Médico,D,15000,15.31,0,0.38,S,10
23,72000,Aluguel,2,Empreendimento,C,15000,NULL,0,0.25,NULL,3
25,35138,Hipoteca,3,Pagamento de débitos,B,1000,NULL,0,0.03,N,3
55,123000,Hipoteca,3,Personal,B,10000,10.99,0,0.08,N,26
23,42000,Aluguel,2,Educativo,C,4550,15.23,0,0.11,N,4
27,60000,Hipoteca,7,Médico,B,3400,NULL,0,0.06,N,7
33,50400,Hipoteca,3,Empreendimento,A,6000,6.92,0,0.12,N,9
25,95000,Aluguel,3,Pagamento de débitos,A,7100,6.99,0,0.07,N,2
29,49000,Própria,NULL,Personal,A,4400,6.62,0,0.09,N,9
35,37000,Aluguel,2,Personal,B,6000,9.99,1,0.16,N,7
24,65000,Aluguel,5,Personal,B,8000,9.63,0,0.12,N,3
40,55000,Própria,2,Melhora do lar,B,8000,11.36,0,0.15,N,17
24,72400,Hipoteca,4,NULL,E,NULL,10.38,0,0.18,N,5
22,54000,Hipoteca,5,Médico,B,7000,10.65,0,0.13,N,2
29,64500,Aluguel,5,Médico,A,10000,8.94,0,0.16,N,7
28,138600,Hipoteca,10,Pagamento de débitos,C,12000,12.99,0,0.09,N,7
29,140000,Própria,5,Empreendimento,B,27000,9.91,0,0.19,N,7
32,131000,Hipoteca,2,Pagamento de débitos,B,11200,10.25,0,0.09,N,5
31,72000,Hipoteca,7,Empreendimento,A,5000,6.92,0,0.07,N,10
49,110000,Hipoteca,11,Melhora do lar,A,3000,7.51,0,0.03,N,16
55,48000,Aluguel,1,Educativo,B,5500,10.62,1,0.11,N,22
29,78996,Aluguel,0,Melhora do lar,D,15000,15.7,1,0.19,S,7
22,32400,Aluguel,6,Educativo,A,8000,7.9,0,0.25,N,2
23,95000,Hipoteca,7,Pagamento de débitos,A,4500,6.92,0,0.05,N,3
27,42000,Aluguel,5,Pagamento de débitos,E,12000,16,1,0.29,S,5
25,150000,Hipoteca,7,Melhora do lar,B,22000,10.38,0,0.15,N,4
26,52000,Aluguel,10,Melhora do lar,E,6000,15.68,0,0.12,N,3
24,38400,Aluguel,8,Personal,E,9000,NULL,NULL,NULL,N,7
22,60000,Aluguel,6,Personal,B,4000,12.21,0,0.07,N,3
37,50000,Hipoteca,0,Personal,A,3200,7.51,0,0.06,N,17
22,80000,Hipoteca,6,Educativo,B,35000,NULL,0,0.44,N,2
27,105000,Hipoteca,3,Educativo,C,25000,12.23,0,0.24,N,5
35,39000,Aluguel,8,Pagamento de débitos,A,4500,6.62,0,0.12,N,6
25,32400,Aluguel,6,Médico,B,4000,10.08,0,0.12,N,2
23,23040,Própria,0,Empreendimento,B,2000,11.11,0,0.09,N,3
23,44000,Hipoteca,7,Personal,A,10000,8.49,1,0.23,N,4
31,51000,Aluguel,5,Personal,B,9000,10.99,0,0.18,N,7
33,53004,Aluguel,0,Educativo,C,20000,13.04,1,0.38,S,9
24,63582,Hipoteca,3,Melhora do lar,C,14000,13.85,1,0.22,N,3
46,60000,Hipoteca,1,Melhora do lar,C,5000,11.72,0,0.08,N,13
33,54000,Hipoteca,3,Educativo,C,10000,15.23,0,0.19,S,8
28,82000,Hipoteca,8,Educativo,A,18000,7.66,0,0.22,N,9
NULL,NULL,Própria,10,Médico,B,8000,13.61,0,0.19,S,9
36,72000,Aluguel,5,Empreendimento,C,16500,13.61,0,0.23,N,11
26,26000,Hipoteca,7,Melhora do lar,B,7000,10.99,0,0.27,N,4
30,100000,Hipoteca,14,Educativo,A,13000,7.88,0,0.13,N,9
48,20400,Aluguel,4,Médico,A,12000,7.49,1,0.59,N,12
27,70400,Hipoteca,6,Personal,C,15000,NULL,0,0.21,S,9
23,69996,Aluguel,8,Educativo,B,13000,11.58,0,0.19,N,3
23,42000,Aluguel,0,Educativo,B,2500,11.49,0,0.06,N,2
22,85000,Hipoteca,7,Educativo,A,11700,8.59,0,0.14,N,3
25,12000,Aluguel,2,Melhora do lar,B,2000,11.89,1,0.17,N,4
30,24000,Aluguel,5,Médico,C,5500,13.23,0,0.23,S,8
21,50000,Hipoteca,5,Personal,B,7000,10.59,0,0.14,N,3
22,16800,Aluguel,2,Personal,B,4000,10.25,1,0.24,N,4
35,66560,Hipoteca,11,Empreendimento,A,4200,5.79,0,0.06,N,10
29,33600,Aluguel,7,Empreendimento,B,2000,11.71,0,0.06,N,9
25,28800,Aluguel,0,Pagamento de débitos,B,5500,9.76,0,0.19,N,4
22,60000,Hipoteca,6,Médico,A,7000,7.14,0,0.12,N,3
38,76000,Hipoteca,4,Personal,A,9000,5.99,0,0.12,N,12
23,55000,Aluguel,2,Educativo,A,2000,7.49,0,0.04,N,3
23,56900,Hipoteca,7,Médico,B,11200,NULL,0,0.2,N,3
25,80000,Aluguel,6,Educativo,C,12000,12.99,0,0.15,N,3
25,66000,Aluguel,NULL,Melhora do lar,B,10000,NULL,0,0.1,N,3
23,69996,Própria,2,Empreendimento,B,10000,NULL,0,0.14,N,3
33,86000,Hipoteca,5,Personal,D,15000,16.49,0,0.17,N,9
28,63000,Aluguel,10,Empreendimento,D,8000,16.29,0,0.13,N,7
39,28650,Hipoteca,1,Médico,NULL,12000,NULL,0,0.11,N,5
34,120000,Hipoteca,10,Educativo,B,20000,10.37,0,0.17,N,10
27,34152,Aluguel,5,Educativo,C,5000,13.79,0,0.15,S,9
31,75000,Hipoteca,8,Empreendimento,B,15600,11.83,0,0.21,N,5
23,15000,Própria,7,Médico,B,4475,NULL,1,0.3,N,4
36,39000,Hipoteca,8,Empreendimento,A,7000,5.79,0,0.18,N,17
27,38000,Aluguel,0,Médico,A,4000,10,NULL,0.18,NULL,17
25,31500,Aluguel,2,Empreendimento,B,1500,10.99,0,0.05,N,4
30,68000,Aluguel,1,Empreendimento,A,3000,5.42,0,0.04,N,9
31,93900,Hipoteca,13,Empreendimento,F,24000,16.08,1,0.26,S,6
30,126000,Hipoteca,6,Empreendimento,B,8000,10.74,0,0.06,N,8
29,18000,Aluguel,3,Empreendimento,B,1700,11.12,0,0.09,N,8
32,193800,Aluguel,0,Médico,B,20000,11.83,1,0.09,N,6
23,44400,Hipoteca,3,Educativo,A,6500,7.51,0,0.15,N,4
26,51600,Aluguel,1,Educativo,A,5000,8.94,1,0.1,N,2
54,170000,Hipoteca,12,Personal,A,5000,7.51,NULL,NULL,N,7
30,29004,Aluguel,13,Médico,E,2400,17.93,1,0.08,S,7
24,118000,Hipoteca,8,Melhora do lar,A,5000,5.42,0,0.04,N,2
22,46000,Hipoteca,0,Médico,B,8000,12.53,1,0.17,N,3
24,42000,Própria,8,Melhora do lar,A,8000,6.62,0,0.19,N,2
23,54000,Aluguel,7,Empreendimento,C,16750,NULL,1,0.31,N,4
22,25000,Aluguel,4,Médico,C,5825,14.27,0,0.23,N,2
33,210000,Hipoteca,17,Pagamento de débitos,B,20000,9.91,0,0.1,N,7
23,43000,Aluguel,7,Educativo,E,7000,NULL,0,0.16,N,4
33,34000,Aluguel,6,Pagamento de débitos,B,8000,9.99,0,0.24,N,5
22,48888,Aluguel,1,Personal,C,18400,13.16,1,0.38,N,2
43,122500,Hipoteca,4,Educativo,A,9150,6.03,0,0.07,N,12
23,70000,Aluguel,1,Personal,B,17000,8.88,0,0.24,N,3
30,38004,Aluguel,4,Empreendimento,B,6000,NULL,0,0.16,N,10
25,48000,Aluguel,9,Personal,B,4800,NULL,0,0.1,N,4
30,50000,Própria,NULL,Empreendimento,A,8000,5.79,0,0.16,N,8
24,66000,Aluguel,3,Educativo,B,25000,9.91,1,0.38,N,2
33,70000,Hipoteca,3,Empreendimento,C,20000,12.84,0,0.29,S,7
28,47881,Aluguel,12,Pagamento de débitos,B,15000,NULL,1,0.31,N,7
23,19200,Hipoteca,7,Pagamento de débitos,A,3000,NULL,1,0.16,N,3
22,50000,Aluguel,2,Pagamento de débitos,B,6000,10.46,0,0.12,N,4
25,44000,Hipoteca,7,Melhora do lar,A,5000,7.4,0,0.11,N,3
23,75000,Aluguel,3,Empreendimento,A,13200,6.17,0,0.18,N,4
22,64000,Aluguel,5,Pagamento de débitos,A,6600,8.9,0,0.1,N,4
26,30000,Aluguel,0,Empreendimento,B,10625,11.71,1,0.35,N,3
25,42000,Hipoteca,NULL,Pagamento de débitos,B,3000,9.91,0,0.07,N,4
25,45000,Aluguel,0,Pagamento de débitos,C,10000,12.98,0,0.22,S,3
22,42996,Aluguel,3,Educativo,C,4000,NULL,0,0.09,N,4
31,80004,Hipoteca,9,Médico,C,3500,12.61,0,0.04,N,10
29,160000,Hipoteca,8,Educativo,A,7000,NULL,0,0.04,N,8
28,69000,Hipoteca,12,Pagamento de débitos,B,10000,9.88,0,0.14,N,8
23,30000,Aluguel,0,Médico,B,4000,10.36,0,0.13,N,4
26,95000,Aluguel,9,Melhora do lar,D,18000,15.31,0,0.19,N,3
25,60000,Hipoteca,1,Melhora do lar,C,5000,15.27,0,0.08,S,2
31,63372,Aluguel,7,Personal,B,3000,NULL,0,0.05,N,7
31,72500,Hipoteca,12,Empreendimento,B,8875,11.99,0,0.12,N,8
23,45000,Própria,NULL,Educativo,C,15000,14.79,0,0.33,N,4
33,56000,Aluguel,7,Personal,B,10000,11.36,0,0.18,N,6
23,28000,Hipoteca,5,Educativo,A,4000,6.92,0,0.14,N,4
24,192000,Aluguel,0,Médico,C,22000,NULL,0,0.11,S,2
24,36500,Hipoteca,3,Educativo,B,2500,10.37,0,0.07,N,3
21,18000,Aluguel,1,Personal,A,3200,8.49,1,0.18,N,3
26,104004,Hipoteca,10,Pagamento de débitos,C,15000,14.22,0,0.14,N,2
29,90000,Aluguel,0,Empreendimento,B,23475,11.58,0,0.26,N,6
